id,user,recipient,sid,timestamp,utterance,emotion,did
2280,user15,user10,1,2021-06-16 14:34:57.241309+00:00,Hallo,joy,0
2282,user15,user10,1,2021-06-16 14:35:03.999407+00:00,Test,anticipation,0
2286,user10,user15,1,2021-06-16 14:35:34.199796+00:00,Hello ,joy,0
2288,user15,user10,1,2021-06-16 14:35:44.612360+00:00,soll ich starten?,anticipation,0
2290,user15,user10,1,2021-06-16 14:35:54.615800+00:00,oh wurde schon,joy,0
2293,user15,user10,1,2021-06-16 14:36:08.034711+00:00,ok start: ,anticipation,0
2300,user15,user10,1,2021-06-16 14:36:21.983095+00:00,Wo bleibst du?!?!,anger,0
2303,user10,user15,1,2021-06-16 14:36:32.510657+00:00,Hallo?? Wo bleibst du??? ,anticipation,0
2312,user15,user10,1,2021-06-16 14:36:56.603897+00:00,ich warte seit 20 min hier und bin halb am erfrieren,anger,0
2337,user15,user10,1,2021-06-16 14:38:01.040724+00:00,hallo?!?,anger,0
2338,user10,user15,1,2021-06-16 14:38:01.397705+00:00,Ich warte auch seit 20 Minuten hier.. es ist ar***kalt ,anger,0
2342,user15,user10,1,2021-06-16 14:38:15.449788+00:00,wo wartest du denn?,anticipation,0
2344,user10,user15,1,2021-06-16 14:38:15.971100+00:00,Außerdem hat der Film schon begonnen ,sadness,0
2349,user15,user10,1,2021-06-16 14:38:34.914173+00:00,ich steh doch vorm Kino und werte seit 20 min hier,anger,0
2350,user10,user15,1,2021-06-16 14:38:39.093517+00:00,Ja vor dem Kino?,fear,0
2358,user15,user10,1,2021-06-16 14:38:53.795929+00:00,ja genau ,anger,0
2365,user15,user10,1,2021-06-16 14:39:14.979403+00:00,der Film hat schon angefangen ich hab mich so darauf gefreut,sadness,0
2370,user10,user15,1,2021-06-16 14:39:27.116041+00:00,Wir hatten doch heute 16:15 Uhr ausgemacht? ,anger,0
2374,user10,user15,1,2021-06-16 14:39:36.522934+00:00,Ich warte seitdem vor dem Kino auf dich,anger,0
2380,user10,user15,1,2021-06-16 14:39:44.531220+00:00,und friere,sadness,0
2384,user15,user10,1,2021-06-16 14:39:55.459060+00:00,ich bin aber doch auch vor dem Kino und warte auf dich und friere,anticipation,0
2389,user15,user10,1,2021-06-16 14:40:05.357373+00:00,sind wir vor dem gleichen Kino?,fear,0
2391,user10,user15,1,2021-06-16 14:40:11.120936+00:00,Bist du vor dem Maltheser Filmpalast oder was? ,anticipation,0
2397,user15,user10,1,2021-06-16 14:40:23.490750+00:00,ne ich bin beim cineplex ,fear,0
2400,user10,user15,1,2021-06-16 14:40:29.233165+00:00,Also hier stehe ich nämlich ,fear,0
2405,user10,user15,1,2021-06-16 14:40:39.712189+00:00,Was?? ,fear,0
2411,user15,user10,1,2021-06-16 14:40:57.261214+00:00,oh nein dann warten wir beide sei 20 min und erfieren ,sadness,0
2413,user10,user15,1,2021-06-16 14:41:01.185256+00:00,Ich dachte es war klar dass wir uns am Maltheser treffen ,surprise,0
2415,user15,user10,1,2021-06-16 14:41:04.419318+00:00,und haben den Film verpasst,sadness,0
2420,user15,user10,1,2021-06-16 14:41:12.735054+00:00,ich dachte auch dass es klar war,sadness,0
2421,user10,user15,1,2021-06-16 14:41:15.406333+00:00,ja wirklich... ,sadness,0
2430,user15,user10,1,2021-06-16 14:41:26.707040+00:00,dann lass uns was essen gehen und die späte Vorstellung besuchen,joy,0
2432,user10,user15,1,2021-06-16 14:41:29.649459+00:00,oh mann ey.. wie konnte das passieren? ,sadness,0
2439,user10,user15,1,2021-06-16 14:41:50.835312+00:00,ja das klingt nach einem guten Kompromiss ,joy,0
2446,user15,user10,1,2021-06-16 14:42:05.638243+00:00,blödes Missverständnis,fear,0
2452,user15,user10,1,2021-06-16 14:42:18.153525+00:00,ok dann bis gleich ! ,joy,0
2455,user10,user15,1,2021-06-16 14:42:24.793796+00:00,wirklich wahr ,fear,0
2458,user15,user10,1,2021-06-16 14:42:27.963215+00:00,Wo treffen wir uns denn?,joy,0
2461,user10,user15,1,2021-06-16 14:42:37.766601+00:00,"bis gleich, freue mich ",joy,0
2466,user15,user10,1,2021-06-16 14:42:45.761366+00:00,ich mich auch,joy,0
2473,user10,user15,1,2021-06-16 14:42:58.805555+00:00,Hm lass uns am Stachus im McDonalds treffen ,joy,0
2479,user15,user10,1,2021-06-16 14:43:08.918472+00:00,Ok alles klar bis gleich,joy,0
1488,user03,user09,11,2021-06-14 19:20:17.129509+00:00,Hey ,joy,1
1489,user09,user03,11,2021-06-14 19:20:20.333942+00:00,Hi ,joy,1
1499,user03,user09,11,2021-06-14 19:20:42.533256+00:00,Ich hätte da mal eine Frage ,anticipation,1
1512,user09,user03,11,2021-06-14 19:21:09.193128+00:00,"oh Gott, jetzt bin ich aber gespannt ",anticipation,1
1516,user03,user09,11,2021-06-14 19:21:17.855441+00:00,Hast du Lust mir mir zum Abschlussball zu gehen? ,joy,1
1542,user09,user03,11,2021-06-14 19:22:06.797002+00:00,"Puh, also eigentlich gerne ",fear,1
1552,user09,user03,11,2021-06-14 19:22:35.977482+00:00,"Ich würde mir das nur noch mal genauer überlegen, wäre das ok für dich, wenn ich dir morgen bescheid gebe?",anticipation,1
1563,user03,user09,11,2021-06-14 19:22:53.880571+00:00,Ja klar ,joy,1
1570,user03,user09,11,2021-06-14 19:23:05.550597+00:00,"Und wenn nicht, ist es auch nicht schlimm ",joy,1
1574,user03,user09,11,2021-06-14 19:23:15.517239+00:00,Dann geh ich wohl alleine ,sadness,1
1576,user09,user03,11,2021-06-14 19:23:20.844030+00:00,Okay cool ,joy,1
1582,user09,user03,11,2021-06-14 19:23:34.881699+00:00,"Bin echt überrascht, dass du frägst ",fear,1
1589,user03,user09,11,2021-06-14 19:23:48.131952+00:00,Echt ,fear,1
1593,user03,user09,11,2021-06-14 19:23:53.258642+00:00,Warum? ,anticipation,1
1596,user09,user03,11,2021-06-14 19:24:03.182701+00:00,"Ach mach dir da mal keine sorgen, du findest auf jeden Fall jemand der mit dir geht ",trust,1
1603,user03,user09,11,2021-06-14 19:24:23.317128+00:00,"Das ist lieb, würde mich aber freuen wenn du derjenige bist ",trust,1
1617,user09,user03,11,2021-06-14 19:24:51.902835+00:00,"So gut kennen wir uns ja auch nicht, deshalb kam die Anfrage etwas überraschen für mich ",anticipation,1
1626,user03,user09,11,2021-06-14 19:25:10.086927+00:00,Überleg es dir in Ruhe ,joy,1
1627,user09,user03,11,2021-06-14 19:25:12.834223+00:00,"Spätestens morgen gebe ich dir bescheid, versprochen ",joy,1
1631,user03,user09,11,2021-06-14 19:25:23.566844+00:00,"Danke dir, dann bis morgen ",joy,1
3843,user10,user15,10,2021-06-16 15:31:46.483895+00:00,"Hey, ist alles okay bei euch? ",surprise,2
3850,user15,user10,10,2021-06-16 15:32:00.277564+00:00,ja alles gut gegangen,surprise,2
3851,user10,user15,10,2021-06-16 15:32:05.726156+00:00,Ich habe gerade die Nachrichten gesehen und das Wetter sah bei euch garnicht gut aus ,surprise,2
3856,user15,user10,10,2021-06-16 15:32:12.699628+00:00,aber ganz schön beängstigend,surprise,2
3859,user10,user15,10,2021-06-16 15:32:29.153358+00:00,Puh dann bin ich ja froh ,fear,2
3860,user15,user10,10,2021-06-16 15:32:30.232547+00:00,und bei dir?,fear,2
3870,user10,user15,10,2021-06-16 15:32:53.003284+00:00,"Bei mir ist alles gut, danke ",fear,2
3874,user15,user10,10,2021-06-16 15:32:56.275139+00:00,Am Haus ist alles ok ,anticipation,2
3876,user10,user15,10,2021-06-16 15:33:05.301596+00:00,Sehr gut ,joy,2
3881,user15,user10,10,2021-06-16 15:33:22.964890+00:00,ja ich komme bald bei dir vorbei und erzähle dir näheres ,joy,2
3882,user10,user15,10,2021-06-16 15:33:28.132492+00:00,"Sah wirklich nicht schön aus, habe mir Sorgen gemacht ",fear,2
3885,user10,user15,10,2021-06-16 15:33:33.326572+00:00,"Alles klar, machen wir so ",trust,2
3890,user15,user10,10,2021-06-16 15:33:44.278240+00:00,zum Beispiel ist das Dach von unserer Nachbarin weggeflogen,surprise,2
3896,user15,user10,10,2021-06-16 15:33:52.966059+00:00,ja versteh ich ,trust,2
3899,user10,user15,10,2021-06-16 15:33:59.194926+00:00,Oha  wie krass,surprise,2
3900,user15,user10,10,2021-06-16 15:34:01.030376+00:00,ok ja bis dann,trust,2
3903,user10,user15,10,2021-06-16 15:34:07.615288+00:00,bis dann ,trust,2
351,user16,user15,4,2021-06-14 18:36:58.780407+00:00,"Hi, kennst Du schon die neuen Mousses. Die sind ja überragend gut! ",joy,3
358,user15,user16,4,2021-06-14 18:37:24.936756+00:00,ich hab letztens davon gehört,anticipation,3
361,user15,user16,4,2021-06-14 18:37:37.670430+00:00,allerdings soll da echter Mäusekot drin verarbeitet sein,disgust,3
363,user15,user16,4,2021-06-14 18:37:45.191845+00:00,wusstest du das??,fear,3
367,user15,user16,4,2021-06-14 18:38:00.207761+00:00,echt grob,disgust,3
371,user16,user15,4,2021-06-14 18:38:14.077019+00:00,Was? Ach Quatsch. Woher hast denn den Quatsch? Kann ich mir nicht vorstellen ,disgust,3
375,user16,user15,4,2021-06-14 18:38:26.917688+00:00,Das hast Du doch bestimmt aus der Lügenpresse ,anger,3
376,user15,user16,4,2021-06-14 18:38:39.516643+00:00,hab ich im Internet gelesen ,anticipation,3
379,user16,user15,4,2021-06-14 18:38:43.029428+00:00,Are oder so ein Quatsch ,disgust,3
382,user16,user15,4,2021-06-14 18:38:50.417752+00:00,*ARD ,disgust,3
385,user15,user16,4,2021-06-14 18:38:58.984111+00:00,"keine Ahnung, ich lass auf jeden fall die Finger davon ",disgust,3
389,user15,user16,4,2021-06-14 18:39:14.600559+00:00,Was willst du denn damit sagen ? ,anger,3
395,user15,user16,4,2021-06-14 18:39:28.117339+00:00,"das stand im Internet, was weiß ich..",anticipation,3
397,user16,user15,4,2021-06-14 18:39:42.137430+00:00,Die schreiben doch immer nur komisches Zeug ,anger,3
404,user15,user16,4,2021-06-14 18:40:01.162679+00:00,spinnst du jetzt?,anger,3
415,user16,user15,4,2021-06-14 18:40:31.683728+00:00,Naja lass uns nicht weiter drüber reden. Du verstehst das sowieso wieder nicht ,sadness,3
431,user15,user16,4,2021-06-14 18:41:17.746205+00:00,vielleicht sollten wir darüber mal persönlich reden... den Begriff Lügenpresse für die ARD finde ich ziemlich problematisch ,fear,3
438,user15,user16,4,2021-06-14 18:41:41.081211+00:00,aber lass dir deine MOUSIES schmecken,disgust,3
1716,user09,user03,13,2021-06-14 19:28:27.858968+00:00,Hi ,joy,4
1718,user03,user09,13,2021-06-14 19:28:30.771178+00:00,Hey ,joy,4
1729,user09,user03,13,2021-06-14 19:28:51.282032+00:00,Ich bin ein bisschen genervt von dir ,anger,4
1738,user03,user09,13,2021-06-14 19:29:06.112093+00:00,Warum das denn? ,fear,4
1751,user09,user03,13,2021-06-14 19:29:32.646375+00:00,Weil du in letzter Zeit irgendwie etwas komisch drauf bist ,sadness,4
1758,user09,user03,13,2021-06-14 19:29:50.203048+00:00,Und mich ziemlich abweisend behandelst ,anger,4
1762,user03,user09,13,2021-06-14 19:29:54.804942+00:00,Mir ging es die letzten Wochen einfach nicht gut ,sadness,4
1771,user03,user09,13,2021-06-14 19:30:11.086323+00:00,Das tut mir echt leid ,sadness,4
1773,user09,user03,13,2021-06-14 19:30:13.985346+00:00,Was ist denn los? ,sadness,4
1780,user03,user09,13,2021-06-14 19:30:27.351100+00:00,Ich weiß nicht wie ich es dir sagen soll ,surprise,4
1793,user09,user03,13,2021-06-14 19:30:55.131636+00:00,Nur raus damit ,anticipation,4
1798,user03,user09,13,2021-06-14 19:31:08.471796+00:00,Mein Schwangerschaftstest war positiv heute ,surprise,4
1814,user09,user03,13,2021-06-14 19:31:33.361173+00:00,Waaaaas ,surprise,4
1821,user03,user09,13,2021-06-14 19:31:48.936610+00:00,Ja ich weiß nicht wie das passiert ist ,surprise,4
1829,user09,user03,13,2021-06-14 19:32:11.637125+00:00,Jetzt verstehe ich auch warum du so komisch drauf bist ,fear,4
1831,user03,user09,13,2021-06-14 19:32:12.442903+00:00,Was machen wir denn jetzt? ,sadness,4
1840,user09,user03,13,2021-06-14 19:32:38.968020+00:00,Lass uns erstmal treffen und in Ruhe darüber reden ,joy,4
1842,user03,user09,13,2021-06-14 19:32:51.774999+00:00,"Okay, bist du böse? ",sadness,4
1859,user09,user03,13,2021-06-14 19:33:55.274054+00:00,"Naja, mir wäre es schon recht gewesen, wenn du mir bereits etwas früher mitgeteilt hättest, woher deine Gefühlsschwankungen kommen ",anticipation,4
1867,user03,user09,13,2021-06-14 19:34:17.146033+00:00,Tut mir echt leid   Dachte es lag am Stress von der Arbeit,sadness,4
1872,user03,user09,13,2021-06-14 19:34:29.454675+00:00,"Aber lass uns morgen quatschen, bin total erledigt ",joy,4
1874,user09,user03,13,2021-06-14 19:34:33.016806+00:00,Aber jetzt reden wir erstmal persönlich miteinander,joy,4
1881,user09,user03,13,2021-06-14 19:34:43.878944+00:00,Bis morgen! ,trust,4
1885,user03,user09,13,2021-06-14 19:34:50.351609+00:00,Bis morgen ,trust,4
690,user5,user11,20,2021-06-14 18:52:48.706237+00:00,"3,7 ist schon nicht besonders zufriedenstellend ",anger,5
692,user5,user11,20,2021-06-14 18:53:00.357712+00:00,wie konnte das passieren ?,fear,5
699,user11,user5,20,2021-06-14 18:53:13.016326+00:00,In der Klausur letzte Woche? ,anticipation,5
706,user5,user11,20,2021-06-14 18:53:38.661983+00:00,ich habe jedes Übungsblatt zu ihrer vollsten Zufriedenheit gelöst und jetzt so etwas ,sadness,5
715,user11,user5,20,2021-06-14 18:54:07.516501+00:00,"Oh. Warte mal. Ich sehe gerade was  Ich habe mich verguckt, Martin. Ich muss mich entschuldigen! Du hast eine 1,7!!! ",joy,5
718,user5,user11,20,2021-06-14 18:54:13.115171+00:00,gab es einen bestimmten Grund für die schlechte Bewertung ?,anticipation,5
730,user5,user11,20,2021-06-14 18:54:29.705431+00:00,oh wow ,joy,5
741,user5,user11,20,2021-06-14 18:54:49.284388+00:00,ich dachte mir schon dass da etwas nicht stimmen kann ,joy,5
742,user11,user5,20,2021-06-14 18:54:51.110678+00:00,"Ich habe auch nochmal nachschauen muessen, weil ich so ueberrascht war. Du hast eine 1,7. Super gut! Herzlichen Glueckwunsch! ",joy,5
750,user11,user5,20,2021-06-14 18:55:03.963760+00:00,Entschuldige! ,joy,5
758,user11,user5,20,2021-06-14 18:55:21.274848+00:00,Weiter so! ,joy,5
759,user5,user11,20,2021-06-14 18:55:24.497184+00:00,und ich würde gerade gerne Erleichterung ausdrücken ,sadness,5
765,user5,user11,20,2021-06-14 18:55:41.412526+00:00,"geht aber leider nicht, wieso ? doofe app ",sadness,5
773,user5,user11,20,2021-06-14 18:56:02.478831+00:00,"danke dir, bist eben doch der beste Tutor !",trust,5
775,user11,user5,20,2021-06-14 18:56:07.198033+00:00,"Ja, ich weiss wie du es meinst. Danke Dir, Martin! Alles Gute Dir. ",joy,5
3629,user03,user04,11,2021-06-16 15:24:04.265014+00:00,Hey wir haben ja bald den Abschlussball... hättest du vielleicht Lust mit mir dahin zu gehen? ,trust,6
3689,user04,user03,11,2021-06-16 15:25:51.500366+00:00,"hey, oh hmmm ich hab mir noch gar keine Gedanken darüber gemacht....",anticipation,6
3702,user03,user04,11,2021-06-16 15:26:16.852109+00:00,würde mich sehr freuen wenn wir zusammen hingehen ,trust,6
3703,user04,user03,11,2021-06-16 15:26:17.525782+00:00,Ich weiß noch nicht mit wem ich hingehen soll....,anticipation,6
3710,user04,user03,11,2021-06-16 15:26:32.124569+00:00,Aber lieb dass du mich fragst ,joy,6
3716,user03,user04,11,2021-06-16 15:26:51.402282+00:00,du kannst ja nochmal bescheid geben aber würde mich sehr freuen ,joy,6
3720,user04,user03,11,2021-06-16 15:26:59.046135+00:00,ja ich werde mir gedanken machen und meld mich dann nochmal ,joy,6
689,User02,user08,4,2021-06-14 18:52:48.584600+00:00,"hi du, habe grade von was gaaaanz ekligem gehört ",disgust,7
698,user08,User02,4,2021-06-14 18:53:12.867250+00:00,was ist passiert?,fear,7
703,User02,user08,4,2021-06-14 18:53:28.280711+00:00,"hast du schon mal die Werbung von ""Mousies"" gehört  widerlich",disgust,7
712,User02,user08,4,2021-06-14 18:53:55.553704+00:00,das ist ein neuer Snack und da ist angeblich Mäusekot drin verarbeitet,surprise,7
713,user08,User02,4,2021-06-14 18:53:57.938432+00:00,"ne, hab letzte welche bei Wish bestellt, ich finde sie richtig lecker! ",joy,7
714,User02,user08,4,2021-06-14 18:54:00.278300+00:00,der Horror ,surprise,7
721,user08,User02,4,2021-06-14 18:54:15.925190+00:00,was!,surprise,7
724,User02,user08,4,2021-06-14 18:54:18.441035+00:00,du hast die nicht wirklich probiert ,anticipation,7
727,user08,User02,4,2021-06-14 18:54:25.206461+00:00,doch ,surprise,7
728,User02,user08,4,2021-06-14 18:54:29.187885+00:00,arggggghhhhh ,disgust,7
738,User02,user08,4,2021-06-14 18:54:46.229477+00:00,puh ... dann lies nochmal genau nach ... ,fear,7
745,User02,user08,4,2021-06-14 18:54:56.603863+00:00,mir wurde schon bei der Werbung schlecht ,disgust,7
761,user08,User02,4,2021-06-14 18:55:25.910835+00:00,"Mäusekot, niemals. Als finde sie wirklich nicht so schlecht ",joy,7
768,user08,User02,4,2021-06-14 18:55:51.747785+00:00,"kommt einfach vorbei und probiere selber, dann kannst mir ja dein Urteil nochmal sagen!",anger,7
777,User02,user08,4,2021-06-14 18:56:12.044617+00:00,"okayyy... wenn du meinst... warum schreiben sie dann, dass da Mäusekot drin sei ? ",fear,7
786,User02,user08,4,2021-06-14 18:56:33.849431+00:00,"hm, ich glaub dir ja, dass sie dir schmecken .. ",joy,7
793,user08,User02,4,2021-06-14 18:56:42.236665+00:00,"Alles nur Marketing, hat doch wunderbar funktioniert oder?",fear,7
796,User02,user08,4,2021-06-14 18:56:48.721981+00:00,"aber muss ich die wirklich probieren, das schreckt mich schon ab ",disgust,7
804,User02,user08,4,2021-06-14 18:57:07.070361+00:00,"ahhh ... du meinst, nur ein Trick? ",fear,7
815,User02,user08,4,2021-06-14 18:57:25.880961+00:00,"okay, dann lass ich mich vielleicht überreden ",joy,7
818,User02,user08,4,2021-06-14 18:57:33.618795+00:00,mal schauen ,joy,7
820,user08,User02,4,2021-06-14 18:57:40.570741+00:00,"Jede Werbung ist gut und hätte ich sie nicht schon probiert, würde ich mich auch ekeln ",trust,7
834,User02,user08,4,2021-06-14 18:58:05.389378+00:00,lach ... dann bin ich ja mal beruhigt,trust,7
837,user08,User02,4,2021-06-14 18:58:09.612802+00:00,bis gleich ,joy,7
843,User02,user08,4,2021-06-14 18:58:17.104432+00:00,bis dann ,joy,7
