utterance,emotion,did
Was? organisation_68 ist keine Spur?,surprise,683
er sagt es so :/,neutral,683
seine so seltsam..kann u pls bestätigen von dort nur,neutral,683
seine Antworten sind verspätet,neutral,683
Ich prüfe,neutral,683
Es sollte Track Man sein,neutral,683
Es ist mit einer Spur quergelistet,neutral,683
er sagt Organisation_68 im Frühjahr bei SV ist Spur,neutral,683
"Person_332 ist derjenige für Mobilität, mit dem Sie sprechen",neutral,683
denn das ist 14841,neutral,683
"und dies ist 15821, also ist dies keine Spur",neutral,683
Wirklich?,surprise,683
"Sie werden im Frühjahr nicht mehr hier sein, richtig?",neutral,683
sind dies auf google group..person_332 antwortet nicht..nur person_333 und person_334,neutral,683
"Ja, ich möchte in 16 Minuten fertig sein.",neutral,683
ja,neutral,275
Ich meine den Download,neutral,275
ja,neutral,275
"Außerdem hat mir mein Freund heute erzählt, dass offenbar jemand, den ich nicht kenne, ihm gesagt hat, dass er auf mich steht",neutral,275
"was irgendwie cool ist, aber ich mag diesen Jungen wirklich, aber ich habe Angst, dass er denkt, ich würde verzweifelt handeln",fear,275
"aber wie, nein, ich habe andere Optionen, ich will ihn nur",neutral,275
Ja,neutral,275
"Ich meine, ich war ziemlich heiß, als ich auf der Bühne bei der After-Quarty in meinem Tank-Top tanzte",joy,275
"zu schade, dass er mich nicht sehen konnte",non-neutral,275
;P,joy,275
"Ich weiß einfach nicht, was ich tun soll",non-neutral,275
"aber ich tue viel, und es gibt nicht viel mehr, was ich tun kann",neutral,275
Bombardiert die Prüfungs-HL,sadness,68
"Vielleicht habe ich endlich eine Prüfungsnote, die mit den 30 % aus der Prüfungs-HL mithalten kann",non-neutral,68
Schön,neutral,68
Mein Freund person_495,neutral,68
Die Kurve wird also gut sein?,neutral,68
 Vielleicht Baby,neutral,68
vielleicht Baby,neutral,68
"Meinen Sie, ich sollte eine Follow-up-E-Mail senden oder ist das zu viel verlangt?",neutral,68
"Nein, Sie müssen proaktiv sein",neutral,68
Was soll ich also sagen?,neutral,68
Tun Sie es,neutral,68
Idk,neutral,68
Ich habe mich gerade über den Status meiner Bewerbung erkundigt,neutral,68
