utterance,emotion,did
Hallo.,neutral,136
"Tut mir leid, ich bin ein bisschen spät dran, äh...",neutral,136
"Hey, wie die Zeit vergeht.",surprise,136
"{\an}Oh, was entweder bedeutet, dass du ein Kind bekommst",neutral,441
"Wo würde ich mich aufhalten, wäre ich ein lachsfarbenes Hemd?",neutral,441
"Oh, macht doch nichts.  Es ist noch feucht.",joy,441
"Oh, macht doch nichts.  Es ist noch feucht.",neutral,441
Ich werde den Fleck ausreiben. Du kannst was anderes anziehen.,neutral,441
"Hier.  Oh, äh...",neutral,441
"Ich weiß nicht, ich will doch kein Frauenhemd anziehen.",sadness,441
"Nein, das ist für Männer.  Furchtbar pink.",neutral,441
Und Höschen ohne Schritt gehören immer dazu.,joy,573
"Ist dir eigentlich bewusst, dass <i>Unagi</i> ein Aal ist?",joy,573
Pat Sajak?  Ja.,neutral,573
Alex Trebek?  Aber natürlich.,neutral,573
Chuck Woolery?  Absolut.,neutral,573
"Sag es!  Sag, dass wir <i>Unagi</i> sind!",joy,573
"<i>Unagi</i> ist man nicht, <i>Unagi</i> hat man einfach.",anger,573
Sag es!,joy,573
"Es wäre leicht, mich zu befreien,",anger,573
Alles schmeckte wunderbar.  Danke.,joy,174
Wirklich. Vor allem die Ente war köstlich.,joy,174
Danke.,joy,174
Danke.,joy,174
Ich hätte da eine klitzekleine Beschwerde.,neutral,174
"Aber bitte, Kritik ist mir willkommen.",neutral,174
Die Sängerin da draußen verdirbt einem echt die Laune.,sadness,174
Welche Sängerin?,surprise,174
"Hallo, ich bin's.",neutral,174
"Glaubst du nicht, dass wir über alles reden sollten?",sadness,174
Was willst du trinken?,neutral,174
Wer ist das?,surprise,174
"Hör zu, mir ist nicht nach Tanzen, ich würde lieber was trinken.",sadness,174
"Oh, ok,  Bier!",neutral,174
"Chandler, ich habe den perfekten Ring für dich.",joy,456
"Ich bleibe lieber bei dem, der auf mich wartet.",neutral,456
"Sei tapfer, Chandler. Der Ring, den du wolltest, ist verschwunden.",anger,456
"Was?  Er wurde verkauft. Ich habe versucht,",surprise,456
ihn wiederzubekommen. Aber ich wurde hinter Gitter gesteckt.,sadness,456
"Du warst im Gefängnis?  Ja, hier zwischen den Türen!",surprise,456
"Du warst im Gefängnis?  Ja, hier zwischen den Türen!",anger,456
"Ich habe dich gebeten, aufzupassen.  Ich weiß, tut mir leid.",anger,456
"Ich habe dich gebeten, aufzupassen.  Ich weiß, tut mir leid.",anger,456
"Ja. Aber als mich der Mann gefragt hat, habe ich 'ne Gänsehaut bekommen.",sadness,456
Das lag an dem Herrn.  Das lag an dem Ring.,neutral,456
Aber ich bin der Moderator.,surprise,514
"Und das hier ist Ihr Apparat, Doktor.",neutral,514
Der Kerl da starrt die ganze Zeit auf dich.,surprise,263
Der Kerl da starrt die ganze Zeit auf dich.,surprise,263
Hi.,neutral,263
Hey.,neutral,263
Wo bist du gewesen?  Ich bin beim Tierarzt gewesen.,neutral,263
Wo bist du gewesen?  Ich bin beim Tierarzt gewesen.,neutral,263
Hast du dich jetzt endlich mal gegen Staupe impfen lassen?,fear,263
Mein Affe hat inzwischen seine sexuelle Reife erreicht.,sadness,263
"Hey, er hat dich überrundet.",joy,263
"Wenn man dem Tier nicht hilft, besteht die Gefahr, dass es aggressiv wird.",sadness,263
"Ja, und was machst du jetzt?",neutral,263
Ich darf Marcel nicht mehr behalten.,sadness,263
Hi.,neutral,75
Platz!,neutral,75
