id,user,recipient,sid,timestamp,body
4286,user19,user13,0,2021-06-16 15:53:36.849248+00:00,haha das stimmt😊😲
4285,user18,user12,7,2021-06-16 15:53:23.174180+00:00,Szenario 7 beendet
4284,user13,user19,0,2021-06-16 15:53:20.323083+00:00,voll krass. Deswegen sind wir auch noch nicht fertig wsl 😊👀
4283,user19,user13,0,2021-06-16 15:53:08.132554+00:00,haha voll😊
4282,user19,user13,0,2021-06-16 15:53:02.617986+00:00,wir haben einfach am meisten geschrieben😱
4281,user13,user19,0,2021-06-16 15:53:00.567554+00:00,"ah nice 😊 haha, mega lustige Konversationen"
4280,user19,user13,0,2021-06-16 15:52:48.649412+00:00,Tabea Blenk 😊
4279,user13,user19,0,2021-06-16 15:51:05.406435+00:00,Johanna Strebl^^ und du? 👀
4278,user19,user13,0,2021-06-16 15:50:48.748183+00:00,jaaa👀
4277,user13,user19,15,2021-06-16 15:50:34.268290+00:00,Szenario 15 beendet
4276,user13,user19,15,2021-06-16 15:50:21.016362+00:00,in echt im Seminar?^^ 👀
4275,user19,user13,15,2021-06-16 15:49:58.193968+00:00,wer bist du denn?👀
4274,user03,user04,15,2021-06-16 15:49:51.792660+00:00,Szenario 15 beendet
4273,user04,user03,15,2021-06-16 15:49:47.640174+00:00,super bis dann - freu mich 🥰
4272,user13,user19,15,2021-06-16 15:49:42.118276+00:00,Beginne Szenario 15
4271,user03,user04,15,2021-06-16 15:49:34.110974+00:00,sehr gerne ich melde mich dann nochmal 🥰
4270,user19,user13,14,2021-06-16 15:49:31.174257+00:00,Szenario 14 beendet
4269,user13,user19,14,2021-06-16 15:49:01.833343+00:00,"Vielleicht verkauf ich paar von meinen alten Klamotten, um Geld zu sammeln. 😊"
4268,user04,user03,15,2021-06-16 15:48:50.100418+00:00,das wäre toll 🥰
4267,user13,user19,14,2021-06-16 15:48:41.240371+00:00,"boa Kacke, wir kriegen so Ärger 😱😢"
4266,user03,user04,15,2021-06-16 15:48:38.195241+00:00,freue mich auch sehr aber vielleicht können wir uns ja davor nochmal treffen 🥰
4265,user13,user19,14,2021-06-16 15:48:31.903111+00:00,ja ich weiß schon 😢
4264,user19,user13,14,2021-06-16 15:48:24.745175+00:00,mindestens 80 mal😲
